team_id,minutes,zone,season_name,data.action_type,data.num_actions_for,data.goals_added_for,data.num_actions_against,data.goals_added_against
Z2vQ1xlqrA,3377,1,2021,Dribbling,56,-0.0218,42,0.3063
Z2vQ1xlqrA,3377,1,2021,Fouling,4,0.0163,9,0.0278
Z2vQ1xlqrA,3377,1,2021,Interrupting,98,0.0697,148,0.4698
Z2vQ1xlqrA,3377,1,2021,Passing,225,0.2261,260,0.4305
Z2vQ1xlqrA,3377,1,2021,Receiving,163,0.0037,156,0.0104
zeQZkL1MKw,3350,1,2021,Dribbling,42,-0.0259,41,0.0298
zeQZkL1MKw,3350,1,2021,Fouling,10,0.0235,2,0.0116
zeQZkL1MKw,3350,1,2021,Interrupting,110,0.3386,106,0.2157
zeQZkL1MKw,3350,1,2021,Passing,163,0.1259,147,0.3067
zeQZkL1MKw,3350,1,2021,Receiving,66,-0.0028,90,-0.005
0KPqjA456v,3395,2,2021,Claiming,1,0.0008,0,0.0
0KPqjA456v,3395,2,2021,Dribbling,66,0.0583,51,-0.02
0KPqjA456v,3395,2,2021,Fouling,2,0.0031,4,0.0104
0KPqjA456v,3395,2,2021,Interrupting,169,2.4338,144,1.6945
0KPqjA456v,3395,2,2021,Passing,234,0.3227,147,0.3375
0KPqjA456v,3395,2,2021,Receiving,182,0.0013,102,0.0003
19vQ2095K6,3362,2,2021,Dribbling,54,0.0042,61,0.0861
19vQ2095K6,3362,2,2021,Fouling,1,0.0015,4,0.0072
19vQ2095K6,3362,2,2021,Interrupting,157,2.2222,174,1.612
19vQ2095K6,3362,2,2021,Passing,144,0.456,170,0.0678
19vQ2095K6,3362,2,2021,Receiving,98,-0.0004,133,0.0033
9z5k7Yg5A3,3393,2,2021,Dribbling,60,0.0124,45,-0.0261
9z5k7Yg5A3,3393,2,2021,Fouling,2,0.0023,6,0.0099
9z5k7Yg5A3,3393,2,2021,Interrupting,181,1.1568,134,1.427
9z5k7Yg5A3,3393,2,2021,Passing,151,0.4673,165,0.3842
9z5k7Yg5A3,3393,2,2021,Receiving,65,0.0012,127,0.0001
