competition,season_name,team_id
mls,2020,WBLMvYAQxe
mls,2020,9z5k7Yg5A3
mls,2020,YgOMngl5wN
mls,2020,a2lqR4JMr0
mls,2020,19vQ2095K6
mls,2020,EKXMeX3Q64
mls,2020,jYQJ19EqGR
mls,2020,lgpMOvnQzy
mls,2020,kaDQ0wRqEv
mls,2020,pzeQZ6xQKw
mls,2020,APk5LGOMOW
mls,2020,Vj58weDM8n
mls,2020,jYQJ8EW5GR
mls,2020,KAqBN0Vqbg
mls,2020,kRQand1MKZ
mls,2020,eVq3ya6MWO
mls,2020,NWMWlBK5lz
mls,2020,zeQZkL1MKw
mls,2020,vzqoOgNqap
mls,2021,0KPqjA456v
mls,2021,X0Oq66zq6D
mls,2021,mKAqBBmqbg
mls,2021,Z2vQ1xlqrA
mls,2021,a2lqRX2Mr0
mls,2021,mvzqoLZQap
mls,2021,kRQabn8MKZ
mls,2021,WBLMvYAQxe
mls,2021,9z5k7Yg5A3
mls,2021,YgOMngl5wN
mls,2021,a2lqR4JMr0
mls,2021,19vQ2095K6
mls,2021,EKXMeX3Q64
mls,2021,jYQJ19EqGR
mls,2021,lgpMOvnQzy
mls,2021,kaDQ0wRqEv
mls,2021,pzeQZ6xQKw
mls,2021,APk5LGOMOW
mls,2021,Vj58weDM8n
mls,2021,jYQJ8EW5GR
mls,2021,KAqBN0Vqbg
mls,2021,kRQand1MKZ
mls,2021,eVq3ya6MWO
mls,2021,NWMWlBK5lz
mls,2021,zeQZkL1MKw
mls,2021,vzqoOgNqap
mls,2021,gpMOLwl5zy
mls,2022,0KPqjA456v
mls,2022,X0Oq66zq6D
mls,2022,mKAqBBmqbg
mls,2022,Z2vQ1xlqrA
mls,2022,a2lqRX2Mr0
mls,2022,mvzqoLZQap
mls,2022,kRQabn8MKZ
mls,2022,WBLMvYAQxe
mls,2022,9z5k7Yg5A3
mls,2022,YgOMngl5wN
mls,2022,a2lqR4JMr0
mls,2022,19vQ2095K6
mls,2022,EKXMeX3Q64
mls,2022,jYQJ19EqGR
mls,2022,lgpMOvnQzy
mls,2022,kaDQ0wRqEv
mls,2022,pzeQZ6xQKw
mls,2022,APk5LGOMOW
mls,2022,Vj58weDM8n
mls,2022,jYQJ8EW5GR
mls,2022,KAqBN0Vqbg
mls,2022,kRQand1MKZ
mls,2022,eVq3ya6MWO
mls,2022,NWMWlBK5lz
mls,2022,zeQZkL1MKw
mls,2022,vzqoOgNqap
mls,2022,gpMOLwl5zy
mls,2022,NPqxKXZ59d
mls,2023,0KPqjA456v
mls,2023,X0Oq66zq6D
mls,2023,mKAqBBmqbg
mls,2023,Z2vQ1xlqrA
mls,2023,a2lqRX2Mr0
