season_name,team_id,general_position,total_avg,p96_avg,p96_weighted_avg,total_avg_rank,p96_avg_rank,p96_weighted_avg_rank
2021,raMyrr25d2,CB,1.8282500000000002,0.07744772686356319,0.10971214252226912,6.0,9.0,7.0
2021,raMyrr25d2,CM,0.9145714285714287,0.1854151081519952,0.11744544238486526,6.0,4.0,6.0
2021,raMyrr25d2,DM,3.3408999999999995,0.12808562300319487,0.12808562300319487,1.0,4.0,6.0
2021,raMyrr25d2,FB,2.4742749999999996,0.18208100850913478,0.16804414573753093,2.0,1.0,1.0
2021,raMyrr25d2,GK,3.485666666666667,8.542205457460576e-05,0.3388025649679379,3.0,7.0,1.0
2021,raMyrr25d2,ST,4.517533333333334,0.29218005382286033,0.29067238605898127,3.0,3.0,4.0
2021,raMyrr25d2,W,2.68916,0.16682062980091447,0.24064071588366895,4.0,6.0,5.0
2021,zeQZeazqKw,AM,2.2103333333333333,0.22877019491178738,0.2448840161569532,4.0,1.0,2.0
2021,zeQZeazqKw,CB,2.323825,0.10773616486404358,0.1600051640667025,4.0,7.0,1.0
2021,zeQZeazqKw,DM,1.23855,0.07838933392470872,0.07597495207667732,9.0,9.0,10.0
2021,zeQZeazqKw,FB,2.215875,0.10511263082722899,0.14839483780955706,3.0,8.0,4.0
2021,zeQZeazqKw,GK,4.39335,0.14653496688389414,0.2942180676665504,2.0,3.0,2.0
2021,zeQZeazqKw,ST,4.16234,0.28626081688803295,0.35817913230548587,4.0,4.0,2.0
2021,zeQZeazqKw,W,0.9326,0.2954772277227723,0.2954772277227723,9.0,1.0,2.0
2022,4JMAk47qKg,AM,1.6603999999999999,0.11483079470794708,0.17411075914800656,7.0,8.0,4.0
2022,4JMAk47qKg,CB,1.6144666666666667,0.10871259159025103,0.08031894973225083,9.0,4.0,10.0
2022,4JMAk47qKg,CM,1.3558,0.16671908726784057,0.1352629773967264,6.0,3.0,7.0
2022,4JMAk47qKg,DM,1.1367666666666667,-0.8222773005667476,0.12103097966728281,10.0,11.0,5.0
2022,4JMAk47qKg,FB,1.2091666666666667,0.12384950878499622,0.10813227759664651,11.0,5.0,10.0
2022,4JMAk47qKg,GK,-2.5911000000000004,-0.3030777628635347,-0.1726201249132547,10.0,12.0,10.0
2022,4JMAk47qKg,ST,1.3955600000000001,0.1998926106806125,0.21791437865972674,11.0,10.0,9.0
2022,4JMAk47qKg,W,4.822333333333334,0.3286349233722153,0.2706747222763594,1.0,1.0,5.0
2022,4wM4rZdqjB,CB,2.0554,0.09695861237339144,0.10519907588413009,4.0,8.0,7.0
2022,4wM4rZdqjB,CM,1.7211000000000003,0.049893827120072815,0.16883874923359898,4.0,10.0,3.0
2022,4wM4rZdqjB,DM,1.9075,0.07059367771781033,0.07059367771781033,4.0,8.0,10.0
2022,4wM4rZdqjB,FB,2.07156,0.1157437307032502,0.17123278801446531,3.0,7.0,3.0
2022,4wM4rZdqjB,GK,1.9386999999999996,0.05023539116089258,0.11675984943538267,5.0,4.0,4.0
2022,4wM4rZdqjB,ST,4.0102,0.23025780035619353,0.29156255680096943,2.0,6.0,5.0
2022,4wM4rZdqjB,W,0.47530000000000006,0.228202885225111,0.132065991316932,11.0,5.0,11.0
2022,7VqG1lYMvW,CB,2.0921333333333334,0.10212603105992916,0.1005061551292744,3.0,6.0,8.0
2022,7VqG1lYMvW,CM,4.6391333333333336,0.2934441378161896,0.2830657627118644,1.0,1.0,1.0
2022,7VqG1lYMvW,DM,1.3067,0.024903908014034113,0.09546666666666666,6.0,10.0,7.0
2022,7VqG1lYMvW,FB,1.35975,0.061037692048460844,0.10552627324171383,9.0,12.0,12.0
2022,7VqG1lYMvW,GK,2.6907,-0.045495750105056715,0.17163269102990036,4.0,7.0,3.0
2022,7VqG1lYMvW,ST,5.4825,0.28943436048690663,0.3255923291060934,1.0,2.0,3.0
2022,7VqG1lYMvW,W,2.1778,0.2554377319615758,0.24181784534038336,8.0,4.0,6.0
2022,7vQ7BBzqD1,AM,8.9731,0.4145416746871992,0.4145416746871992,1.0,1.0,1.0
2022,7vQ7BBzqD1,CB,1.6471999999999998,0.08453826089352601,0.07886842892768078,8.0,11.0,11.0
2022,7vQ7BBzqD1,CM,0.7546,0.12936,0.12936,9.0,7.0,8.0
2022,7vQ7BBzqD1,DM,2.3584199999999997,0.11255977571538127,0.16598850439882698,1.0,3.0,1.0
2022,7vQ7BBzqD1,FB,1.8418599999999998,0.09862176927989147,0.14739793264421475,4.0,10.0,6.0
2022,7vQ7BBzqD1,GK,3.5715,0.1156370994940978,0.1156370994940978,2.0,3.0,5.0
2022,7vQ7BBzqD1,ST,3.6959999999999997,0.2538080270893553,0.2849927710843374,4.0,5.0,6.0
2022,7vQ7BBzqD1,W,2.41155,0.31198238985595433,0.31242753036437254,6.0,2.0,2.0
2022,KPqjw8PQ6v,AM,3.5919,0.13629343873517788,0.13629343873517788,3.0,7.0,9.0
2022,KPqjw8PQ6v,CB,1.16842,0.08632955518679708,0.06684643623361143,11.0,10.0,12.0
2022,KPqjw8PQ6v,CM,3.0831000000000004,0.16281890173842162,0.15325039696237486,2.0,4.0,4.0
2022,KPqjw8PQ6v,FB,1.6691285714285715,0.1485504081942294,0.17490322781849368,7.0,3.0,2.0
2022,KPqjw8PQ6v,GK,-1.1686,-0.1477406122430306,-0.07726280991735537,8.0,9.0,8.0
2022,KPqjw8PQ6v,ST,2.3789999999999996,0.20801725693488118,0.2675329949238578,7.0,7.0,8.0
2022,KPqjw8PQ6v,W,2.841425,0.15830683254697983,0.33033823796548595,4.0,11.0,1.0
2022,Pk5LeeNqOW,CB,1.73752,0.09236135974296822,0.11554580216126349,7.0,9.0,5.0
2022,Pk5LeeNqOW,CM,1.9818800000000003,0.1767969138019254,0.1884140225787285,3.0,2.0,2.0
2022,Pk5LeeNqOW,DM,2.3407999999999998,0.12544082395739825,0.15302471910112359,2.0,2.0,2.0
2022,Pk5LeeNqOW,FB,1.62915,0.15291062901208982,0.14890358616312285,8.0,2.0,5.0
2022,Pk5LeeNqOW,GK,2.844466666666667,0.6742551828534745,0.27873644096631506,3.0,1.0,2.0
2022,Pk5LeeNqOW,ST,3.94576,0.3022052554546889,0.4353942068965519,3.0,1.0,1.0
2022,Pk5LeeNqOW,W,3.6022,0.28855111916637854,0.293557894736842,3.0,3.0,4.0
2022,XVqKeVKM01,AM,0.1507,0.17020235294117647,0.17020235294117647,9.0,4.0,5.0
2022,XVqKeVKM01,CB,1.8385,0.10220137084622333,0.11256122448979593,6.0,5.0,6.0
2022,XVqKeVKM01,CM,1.08086,0.06056133447342804,0.09090814788855792,8.0,9.0,10.0
2022,XVqKeVKM01,DM,1.2691000000000001,0.1349180035687871,0.14333364705882354,8.0,1.0,3.0
2022,XVqKeVKM01,FB,2.148566666666667,0.12419097742676716,0.12378219643928787,2.0,4.0,7.0
2022,XVqKeVKM01,GK,-3.815266666666666,-0.025356330824383804,-0.3973948643761302,12.0,5.0,12.0
2022,XVqKeVKM01,ST,0.9270750000000001,0.144277146478702,0.17510909985243484,12.0,12.0,12.0
2022,XVqKeVKM01,W,1.834814285714286,0.22169971301817518,0.205362291805463,9.0,7.0,8.0
